mean,std,min,max,kick_Type
1298.4545454545455,392.7783240446492,849,1998,1
1130.5641025641025,360.44210190335536,278,1998,1
1259.1,516.3705586554619,44,1998,1
1190.9180327868853,461.0116880326704,-374,1998,1
1202.7758620689656,399.8853363329995,648,1998,1
1188.304347826087,408.4623715244853,293,1998,1
1305.5,491.20020462703496,370,1998,1
1171.9130434782608,410.200551349417,265,1998,1
1194.8709677419354,420.20079056233595,399,1998,1
1221.4716981132076,425.98183438036534,538,1998,1
1096.0892857142858,396.3390778240137,217,1997,1
1151.3472222222222,371.42357126056226,403,1998,1
1202.0689655172414,520.5615005569169,-37,1998,1
1192.6461538461538,494.3330554510171,94,1998,1
1149.123287671233,367.54406180323326,391,1998,1
1186.2272727272727,422.4862963805699,272,1998,1
1221.75,450.3539348852929,595,1998,1
1262.125,434.85358871351315,594,1998,1
1176.2096774193549,427.0758421952469,392,1998,1
1227.5483870967741,435.5005289721941,281,1998,1
1254.9622641509434,444.1188753832674,633,1998,1
1291.2702702702702,458.75106107347165,356,1997,1
1198.6825396825398,393.7460220135696,386,1998,1
1210.4603174603174,426.5960477032419,496,1998,1
1162.6615384615384,503.2967339491151,-336,1998,1
1241.26,549.06602740379,-44,1998,1
1194.688524590164,420.19557117226594,485,1998,1
1318.341463414634,505.5352415883634,396,1998,1
1252.6222222222223,453.09071381953413,503,1998,1
1238.3214285714287,446.81890198248226,112,1998,1
1156.5441176470588,387.86851264211924,371,1998,1
1263.125,464.15670361723795,424,1998,1
1350.84375,493.1777216389318,357,1998,1
1197.2333333333333,425.349083621739,642,1998,1
1191.938775510204,448.6498917197418,276,1998,1
1255.659574468085,444.8434642411596,596,1998,1
1191.7241379310344,449.8163287193754,213,1998,1
1144.6176470588234,414.16894056136596,254,1998,1
1155.0869565217392,420.68923625859077,185,1998,1
1166.406779661017,405.44475871200603,243,1998,1
1223.1296296296296,386.33214990331413,518,1998,1
1135.5894736842106,346.0796702869014,476,1998,1
1394.9736842105262,437.50975197422315,441,1998,1
1212.9122807017543,415.2393578537286,598,1998,1
1242.891304347826,454.271246834403,435.0,1998.0,1
1299.8461538461538,466.84002322792486,88,1998,1
1166.8450704225352,401.8070485013324,-180,1998,1
1190.4492753623188,434.8175254947858,200,1998,1
1145.0,416.9604630870627,-308,1998,1
1311.0285714285715,648.9870607662506,-740,1997,2
1195.648148148148,548.1305503979182,-1143,1997,2
1283.9782608695652,542.2049423575077,-374,1997,2
1216.6666666666667,565.9707947201784,-1395,1997,2
1171.1470588235295,502.05420604962154,-1210,1997,2
1183.0615384615385,559.2819022227038,-1696,1997,2
1180.0,638.501222646249,-1675,1997,2
1199.3620689655172,528.9874703612109,-788,1997,2
1276.4375,551.60427174414,-92,1997,2
1198.0,570.7153103932304,-1721,1997,2
1294.8536585365853,635.9899197697872,-713,1997,2
1177.390625,489.9553143598347,-626,1997,2
1263.121951219512,681.1322997451358,-1839,1997,2
1411.6176470588234,684.8864101664302,-1316,1997,2
1177.2432432432433,405.591190726348,563,1997,2
1204.5333333333333,439.96396103050256,603,1997,2
1230.56,528.2082597936972,-367,1997,2
1159.8196721311476,572.0138258293156,-1747,1997,2
1156.1454545454546,711.9824804903927,-1795,1997,2
1206.0,507.4874382681802,-435,1997,2
1512.5,636.6893276944415,-609,1997,2
1201.5,594.8990729331692,-475,1997,2
1221.98,559.8311877481552,-946,1997,2
1241.8181818181818,443.51613152461414,200,1997,2
1185.8181818181818,520.0032083558106,-266,1997,2
1200.2857142857142,483.30448577891957,83,1997,2
1190.9122807017543,519.4211847507952,-1010,1997,2
1342.0,659.4146245412089,-1007,1997,2
1201.8,618.7775702798876,-1970,1997,2
1328.59375,739.7026368260555,-1282,1997,2
1277.25,796.138479519379,-1901,1997,2
1231.0208333333333,649.3163176817608,-1813,1997,2
1150.4262295081967,595.707295546406,-1998,1997,2
1211.767857142857,523.6807837907445,-831,1997,2
1294.2702702702702,757.4085074430753,-1756,1997,2
1267.111111111111,468.5575886019541,241,1997,2
1286.5882352941176,471.99259216519863,410,1997,2
1194.6545454545455,627.7163259455548,-1998,1997,2
1426.4516129032259,753.4804504745374,-1763,1997,2
1232.767857142857,552.7597535366248,-1134,1997,2
1237.8301886792453,520.8102317856823,-431,1997,2
1295.342105263158,727.0973122096347,-1901,1997,2
1359.71875,780.8415325736302,-1957,1997,2
1188.2962962962963,627.0049089401776,-1998,1997,2
1384.8666666666666,619.3529846058949,-446,1997,2
1137.2542372881355,549.1593133967198,-614,1997,2
1181.25,617.7983005772016,-1813,1997,2
1485.6538461538462,642.33149960485,-805,1997,2
1225.4905660377358,629.8299716419657,-1786,1997,2
1283.0454545454545,602.3180012501876,-1137,1997,2
