mean,std,min,max,kick_Type,GyrX_mean,GyrX_std,GyrX_min,GyrX_max,GyrY_mean,GyrY_std,GyrY_min,GyrY_max,GyrZ_mean,GyrZ_std,GyrZ_min,GyrZ_max
1386.75106976549,561.3074080498312,764.7175949329269,3123.8186567084845,1,-12.248214285714283,138.18907336238001,-466.8,343.6,20.71785714285713,168.462878681051,-304.1,548.5,11.505357142857145,166.5841981152123,-295.1,618.5
1658.0772408694925,562.4743930589347,967.2233454585347,2799.3336707152293,1,8.329729729729731,165.94693406304597,-333.5,363.7,35.47027027027027,244.08892262277524,-421.4,605.0,13.767567567567562,177.8453417595906,-262.7,513.8
1815.098457754427,591.4115383102128,950.2110291929894,3178.3300646723274,1,14.218749999999996,214.2642089804081,-528.5,419.7,42.468750000000014,247.5876820083302,-375.9,587.9,18.074999999999996,238.61780751762035,-288.4,659.5
1495.1022850409097,672.6360452425031,965.2880399134758,3459.4829093377525,1,16.51929824561403,136.2357534342012,-493.0,445.8,24.582456140350878,197.58658601340093,-470.5,601.7,10.394736842105267,173.76954917880323,-275.1,663.8
1537.3413743371095,652.9568293124446,743.4749491408571,3265.323720552068,1,1.2978260869565201,132.6146003175793,-379.6,355.2,27.356521739130446,216.68054689096158,-373.1,603.6,6.606521739130439,173.10562530454433,-283.0,612.4
1582.2769697504225,634.2723980838492,228.93012034243114,3381.1091375464352,1,20.02564102564103,110.87890909966107,-231.0,273.8,27.312820512820526,234.2587033483856,-413.9,611.2,19.600000000000005,196.95157032283745,-290.8,606.6
1296.3346296910697,539.6809173460604,386.08030252785494,3448.549985138681,1,-3.356338028169012,107.2470428928254,-533.3,359.8,20.38309859154929,147.5625484676297,-284.2,553.2,1.9070422535211244,191.25081312540024,-339.3,840.9
1403.5718008318286,658.575979289108,762.9488842642081,3303.8689441320157,1,15.962318840579705,104.2645491349222,-236.7,358.2,18.992753623188396,189.93429151624161,-482.9,633.7,13.756521739130438,144.6972869356828,-318.0,559.1
1295.673016026051,524.3395289229586,805.6227404933403,2729.1854096048514,1,1.3273972602739716,104.05236563634944,-554.7,363.7,19.01232876712329,141.64231353934915,-219.2,597.0,4.256164383561648,181.95758204279778,-324.9,839.1
1597.663282915335,616.037365120621,982.959307397819,2993.6711576257003,1,30.536363636363618,96.65119759098525,-157.5,279.6,22.30454545454544,221.1599263024705,-427.6,608.7,17.53181818181818,192.46211680722948,-300.9,613.8
1267.8503474452823,494.6971751875079,850.3205278011345,2985.1477350375812,1,11.374358974358977,71.87569434722309,-146.6,317.7,15.27435897435898,141.97810461878333,-321.5,532.7,12.247435897435897,170.6305043634168,-274.0,740.0
1588.8768579629,643.3316568836486,928.5472524325297,2943.8575033448883,1,29.1125,138.44257383478538,-403.6,389.8,19.09250000000001,210.6552261428186,-372.6,557.4,30.837500000000006,221.08231288484572,-299.6,689.2
1360.8349104563097,572.9505088499571,481.4810484328537,3445.104787956384,1,6.170491803278688,97.04664916808876,-385.5,440.5,20.65081967213116,152.34387923701956,-309.9,574.7,9.968852459016384,178.766138237441,-326.4,617.3
1415.424739195038,616.0549053499952,714.9433543994936,3459.4829093377525,1,3.796551724137931,107.95913288770758,-579.6,337.8,28.70689655172414,177.84298797719234,-325.8,703.0,7.175862068965517,200.6539154691566,-376.1,694.7
1353.607918301459,577.4218770980777,740.5477702349795,3458.3282088315445,1,5.711594202898553,68.23072349245238,-293.8,237.7,16.856521739130425,144.57479488878946,-313.1,500.8,10.307246376811603,183.488029998145,-331.9,690.2
1608.2718347869013,631.6564348791845,750.6057553736182,2833.9957656990246,1,28.59250000000001,115.19310963078587,-400.4,359.4,32.3575,204.1564142533103,-322.9,595.1,14.8125,239.5292768225383,-353.6,585.8
1350.268959539147,601.3519186756196,514.9087297764527,3110.082635558097,1,15.23768115942029,81.73947513009797,-186.3,332.9,12.511594202898555,164.91358123381568,-438.2,526.6,16.02608695652174,167.50448690405977,-300.0,680.2
1347.518576593223,544.3280790419404,681.4880776653397,3076.6823040411564,1,8.748387096774195,70.70050372425993,-119.2,298.6,13.714516129032251,143.47205913710425,-295.8,458.7,9.903225806451612,207.93100445189606,-384.1,726.0
1454.6136468632906,646.4473524436224,814.5851705009121,3458.9057518238337,1,22.35094339622641,103.11704630892751,-288.1,241.7,18.996226415094334,205.24136537844726,-423.9,606.0,15.416981132075469,183.14270259496584,-344.1,579.5
1325.0954586341518,543.467853287151,744.3157931953345,2877.241387162363,1,12.511111111111104,87.93712631570088,-253.3,324.7,17.351388888888895,179.00709167874683,-413.0,601.3,12.41805555555556,157.39355475322373,-343.4,613.0
1511.665337786697,647.2262217242611,755.589174088671,2874.6911138416244,1,34.71724137931034,113.30599949729522,-219.5,423.5,21.78793103448276,205.50061687497478,-482.3,719.0,7.494827586206896,183.63601433882855,-390.6,626.7
1447.5753018486826,625.821728011088,449.9399959994666,3145.5118820312855,1,26.659999999999997,120.46701156333216,-203.1,360.5,25.83384615384615,190.7783393733116,-504.7,668.5,-0.6323076923076936,159.61702418180167,-354.1,500.8
1327.2945950324422,546.9946454367922,874.723384848033,2850.4220740093915,1,19.9,97.7488121553289,-267.9,419.3,20.124657534246573,174.36412792138134,-461.9,566.2,10.308219178082185,158.64429442538764,-315.8,658.2
1444.491741430982,652.0939430892261,904.7154248712686,2885.126860295748,1,29.28333333333334,110.0325498461297,-197.8,451.3,17.645454545454538,198.4006297925939,-540.9,729.5,9.97575757575757,167.32500209574275,-317.1,630.7
