mean,std,min,max,GyrX_mean,GyrX_std,GyrX_min,GyrX_max,GyrY_mean,GyrY_std,GyrY_min,GyrY_max,GyrZ_mean,GyrZ_std,GyrZ_min,GyrZ_max
2.158274193548387,0.6937986639567855,0.628,3.458,-24.72453271028038,189.4695317148878,-758.3,445.9,26.674193548387084,240.10414061299093,-396.4,723.5,17.6274193548387,338.4353231038076,-550.9,1042.9
1.5449166666666665,0.5179357196817209,1.083,3.017,-24.72453271028038,189.4695317148878,-758.3,16.1,0.4333333333333349,57.198018613701414,-76.0,115.6,-38.766666666666666,106.96642067263515,-223.9,150.0
1.2643,0.23610635315467474,1.022,1.678,-24.72453271028038,189.4695317148878,-758.3,68.3,0.229999999999999,32.37348194639145,-40.0,54.1,-12.389999999999997,88.82911747344511,-194.4,99.6
1.847,0.7422501007889538,0.916,3.192,-24.72453271028038,189.4695317148878,-758.3,457.7,7.048484848484847,198.6318266939052,-386.5,549.7,-9.730303030303025,158.22219243213104,-348.5,257.7
1.716057692307692,0.7420610438673114,0.917,3.383,-24.72453271028038,189.4695317148878,-758.3,227.5,-14.086538461538465,146.27861681326635,-428.8,462.0,9.490384615384608,298.66038766571216,-790.0,996.2
1.3736521739130436,0.43169560619528846,0.948,2.931,-24.72453271028038,189.4695317148878,-758.3,157.2,-15.434782608695647,59.625296711254514,-121.6,116.1,8.27826086956522,80.40726989136863,-172.2,162.6
1.8401,0.603227933703339,0.945,3.375,-24.72453271028038,189.4695317148878,-758.3,504.4,28.232499999999987,228.76431874759507,-308.4,744.0,37.122499999999995,255.93475579600155,-475.0,896.4
1.868441860465116,0.6907971567226326,0.759,3.375,-24.72453271028038,189.4695317148878,-758.3,437.9,29.060465116279094,195.05947583766402,-309.1,594.0,29.38372093023256,236.38905273402938,-372.8,794.3
2.015851851851852,0.6905879783415753,0.931,2.951,-24.72453271028038,189.4695317148878,-758.3,310.9,-1.6259259259259309,227.02144356966778,-276.3,684.0,12.470370370370377,155.4898508061015,-338.4,277.4
1.7308301886792454,0.7379783638452675,0.889,3.46,-24.72453271028038,189.4695317148878,-758.3,269.2,2.299999999999998,164.71862955682008,-306.6,662.1,2.503773584905667,286.6127600373987,-512.5,980.5
